[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000319s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000420s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001994s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | INFO: Tag[ view_end ] --START--
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000428s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000477s ]
[ 2015-07-20T09:10:37+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --START--
[ 2015-07-20T09:10:37+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run CheckRoute Behavior [ RunTime:0.000961s ]
[ 2015-07-20T09:10:37+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001041s ]
[ 2015-07-20T09:10:37+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --START--
[ 2015-07-20T09:10:37+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000785s ]
[ 2015-07-20T09:10:37+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000861s ]
[ 2015-07-20T09:10:43+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --START--
[ 2015-07-20T09:10:43+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run CheckRoute Behavior [ RunTime:0.001475s ]
[ 2015-07-20T09:10:43+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001606s ]
[ 2015-07-20T09:10:43+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --START--
[ 2015-07-20T09:10:43+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001359s ]
[ 2015-07-20T09:10:43+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001461s ]
[ 2015-07-20T09:10:48+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --START--
[ 2015-07-20T09:10:48+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run CheckRoute Behavior [ RunTime:0.001210s ]
[ 2015-07-20T09:10:48+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001308s ]
[ 2015-07-20T09:10:48+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --START--
[ 2015-07-20T09:10:48+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000864s ]
[ 2015-07-20T09:10:48+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000929s ]
[ 2015-07-20T09:10:53+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --START--
[ 2015-07-20T09:10:53+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run CheckRoute Behavior [ RunTime:0.001409s ]
[ 2015-07-20T09:10:53+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001530s ]
[ 2015-07-20T09:10:53+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --START--
[ 2015-07-20T09:10:53+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000731s ]
[ 2015-07-20T09:10:53+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000806s ]
[ 2015-07-20T09:10:58+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --START--
[ 2015-07-20T09:10:58+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run CheckRoute Behavior [ RunTime:0.000774s ]
[ 2015-07-20T09:10:58+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.000842s ]
[ 2015-07-20T09:10:58+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --START--
[ 2015-07-20T09:10:58+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000429s ]
