[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: face e9ca3d00a40c8a0e158f18fe2252bc69.php 第 422 行.
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: username e9ca3d00a40c8a0e158f18fe2252bc69.php 第 422 行.
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 426 行.
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: username e9ca3d00a40c8a0e158f18fe2252bc69.php 第 426 行.
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 430 行.
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: follow e9ca3d00a40c8a0e158f18fe2252bc69.php 第 430 行.
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 431 行.
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: fans e9ca3d00a40c8a0e158f18fe2252bc69.php 第 431 行.
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 433 行.
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 445 行.
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: face e9ca3d00a40c8a0e158f18fe2252bc69.php 第 446 行.
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 449 行.
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: username e9ca3d00a40c8a0e158f18fe2252bc69.php 第 449 行.
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: count e9ca3d00a40c8a0e158f18fe2252bc69.php 第 450 行.
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 452 行.
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.076800s ]
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.076902s ]
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | INFO: Tag[ view_filter ] --START--
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.001239s ]
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000685s ]
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000483s ]
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000568s ]
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003155s ]
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | INFO: Tag[ view_end ] --START--
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000448s ]
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000486s ]
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --START--
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run CheckRoute Behavior [ RunTime:0.001991s ]
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.002128s ]
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --START--
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001319s ]
[ 2015-07-21T14:26:58+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001405s ]
[ 2015-07-21T14:27:03+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --START--
[ 2015-07-21T14:27:03+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run CheckRoute Behavior [ RunTime:0.001476s ]
[ 2015-07-21T14:27:03+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001592s ]
[ 2015-07-21T14:27:03+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --START--
[ 2015-07-21T14:27:03+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001063s ]
[ 2015-07-21T14:27:03+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001146s ]
[ 2015-07-21T14:27:09+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --START--
[ 2015-07-21T14:27:09+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run CheckRoute Behavior [ RunTime:0.001288s ]
[ 2015-07-21T14:27:09+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001386s ]
[ 2015-07-21T14:27:09+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --START--
[ 2015-07-21T14:27:09+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000905s ]
[ 2015-07-21T14:27:09+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000978s ]
[ 2015-07-21T14:27:14+08:00 ] /fweibo/index.php/Index/getMsg | INFO: Tag[ route_check ] --START--
