[ 2015-07-19T22:54:37+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000607s ]
[ 2015-07-19T22:54:37+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000667s ]
[ 2015-07-19T22:54:39+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ route_check ] --START--
[ 2015-07-19T22:54:39+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Run CheckRoute Behavior [ RunTime:0.000890s ]
[ 2015-07-19T22:54:39+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000980s ]
[ 2015-07-19T22:54:39+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ app_begin ] --START--
[ 2015-07-19T22:54:39+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000491s ]
[ 2015-07-19T22:54:39+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000535s ]
[ 2015-07-19T22:55:29+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ route_check ] --START--
[ 2015-07-19T22:55:29+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Run CheckRoute Behavior [ RunTime:0.000819s ]
[ 2015-07-19T22:55:29+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000886s ]
[ 2015-07-19T22:55:29+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ app_begin ] --START--
[ 2015-07-19T22:55:29+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000451s ]
